                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.87061,                0.42958,                0.85245,                0.44646,                0.21218,                 0.2435,                0.13101,                 1.2461,                0.60213,                0.92567,                0.00307,                0.00307,                0.00307
                     38,                0.87044,                0.42931,                0.85272,                0.44757,                0.21408,                0.24373,                0.13111,                 1.2457,                0.60101,                0.92595,               0.002872,               0.002872,               0.002872
                     39,                0.86183,                0.42593,                0.85164,                0.45241,                0.21472,                0.24461,                0.13175,                 1.2449,                0.60271,                 0.9256,               0.002674,               0.002674,               0.002674
                     40,                0.86018,                0.42382,                0.84923,                0.47911,                0.21248,                0.24515,                 0.1322,                 1.2437,                0.60381,                0.92447,               0.002476,               0.002476,               0.002476
                     41,                  0.851,                0.41237,                0.84207,                0.46612,                 0.2149,                0.24593,                0.13358,                 1.2272,                0.59997,                0.92293,               0.002278,               0.002278,               0.002278
                     42,                0.84379,                0.40887,                0.83919,                0.45679,                0.21551,                0.24676,                0.13422,                 1.2237,                0.59879,                0.92294,                0.00208,                0.00208,                0.00208
                     43,                0.83576,                0.40556,                0.83844,                0.44372,                0.21672,                0.24706,                0.13425,                 1.2222,                0.59841,                0.92262,               0.001882,               0.001882,               0.001882
                     44,                 0.8304,                0.40286,                0.83669,                0.45495,                0.21164,                0.24649,                0.13432,                 1.2213,                0.59771,                0.92269,               0.001684,               0.001684,               0.001684
                     45,                0.82551,                0.40082,                 0.8365,                0.45017,                0.21187,                0.24633,                 0.1344,                 1.2215,                0.59767,                0.92257,               0.001486,               0.001486,               0.001486
                     46,                0.82086,                0.39819,                0.83424,                 0.4517,                0.21276,                0.24613,                0.13413,                 1.2213,                0.59726,                0.92251,               0.001288,               0.001288,               0.001288
                     47,                0.81385,                0.39577,                0.83359,                0.45402,                0.21172,                0.24599,                0.13421,                  1.221,                0.59746,                0.92232,                0.00109,                0.00109,                0.00109
                     48,                0.80954,                0.39346,                0.83318,                0.44467,                0.21304,                0.24601,                0.13433,                 1.2215,                0.59801,                0.92241,               0.000892,               0.000892,               0.000892
                     49,                 0.8062,                0.39167,                0.83228,                0.44996,                0.21126,                0.24559,                0.13374,                 1.2221,                0.59809,                 0.9225,               0.000694,               0.000694,               0.000694
                     50,                0.80078,                0.38893,                0.83021,                0.45478,                0.21053,                0.24565,                0.13364,                 1.2229,                0.59796,                0.92275,               0.000496,               0.000496,               0.000496
